English,Turkish
goddamn,lanet olası
coat,ceket
tongue,dil
wheel,tekerlek
terrorist,terörist
solve,çözmek
capable,yetenekli
unravel,çözmek
university,üniversite
get out,defol
slave,köle
funeral,cenaze
expansion,genişleme
nurse,hemşire
flag,bayrak
solution,çözüm
schedule,program
precious,değerli
interrupt,kesmek
exit,çıkış
surgery,cerrahlık
manage,yönetmek
physical,fiziksel
vow,"yemin etmek, ant içmek, yemin"
task,görev
complicated,karmaşık
shake,sallamak
pit,çukur
actual,gerçek
weight,ağırlık
gosh,allah allah
sexy,seksi
kinda,"sayılır, gibi"
route,rota
direction,yön
square,meydan
rate,oran
coin,madeni para
driver,sürücü
friday,cuma
opinion,"görüş, fikir"
curious,meraklı
mostly,çoğunlukla
natural,doğal
coward,"ödlek, korkak"
sale,satış
punish,cezalandırmak
property,"özellik, mal mülk, emlak"
assistant,"yardımcı, asistan"
glades,ormanlarını
friendship,dostluk
shift,vardiya
legal,yasal
tall,uzun boylu
winter,kış
rush,acele
noise,"gürültü, ses"
robin,narbülbülü
will,niyet
anger,"öfke, kızdırmak"
sentence,"cümle, ceza vermek"
national,ulusal
mum,anne
sync,senkronize etmek
drown,bastırmak
creature,yaratık
chest,sandık
alert,"alarm, uyarmak"
argue,tartışmak
disease,hastalık
trace,iz sürmek
custody,gözaltı
reward,ödül
violence,şiddet
forgotten,unutulmuş
drool,saçmalamak
divorce,boşanma
annoy,rahatsız etmek
celebrate,kutlamak
rent,kira
grave,mezar
locate,yerleştirmek
meal,yemek
version,versiyon
cancel,iptal etmek
virus,virüs
get in,"binmek, içeriye girmek"
do with,ile yapmak
contract,sözleşme
stolen,çalıntı
grateful,minnettar
immediately,hemen
airport,havaalanı
dense,yoğun
darkness,karanlık
float,şamandıra
central,merkezi
ordinary,sıradan
host,evsahibi
wire,tel
sat,oturdu
repeat,tekrar et
dawn,şafak
crowd,kalabalık
character,karakter
texas,teksas
loser,ezik
fantastic,fantastik
be in,içeride olmak
tag,etiket
ignore,aldırmamak
collect,toplamak
juice,meyve suyu
pee,işemek
dealer,satıcı
usual,olağan
progress,ilerleme
channel,kanal
cage,kafes
adult,yetişkin
remove,kaldır
survived,hayatta
nor,ne de
pool,havuz
insult,hakaret
whom,kime
goal,hedef
disgust,iğrenme
package,paket
talent,yetenek
toilet,tuvalet
ugly,çirkin
medicine,ilaç
affair,"mesele, şey"
forest,orman
official,resmi
football,futbol
brown,kahverengi
charm,çekicilik
radiation,radyasyon
among,arasında
provide,sağlamak
strip,"şerit, soymak, üstünü çıkarmak"
of course,elbette
gut,bağırsak
example,örnek
stock,stok
chocolate,çikolata
loyal,sadık
season,mevsim
autotrophs,ototraflar
bride,gelin
mood,ruh hali
health,sağlık
candy,şeker
twin,ikiz
governor,vali
creepy,ürpertici
missy,küçük hanım
bright,parlak
distract,dikkatini dağıtmak
loyalty,bağlılık
spring,bahar
wing,kanat
expensive,pahalı
detect,belirlemek
wherever,nerede olursa
wet,ıslak
higher,daha yüksek
FALSE,yanlış
rude,kaba
lieutenant,teğmen
stood,durdu
current,şimdiki
violent,şiddet eğilimli
positive,pozitif
commit,işlemek
fund,"fon, sermaye"
christian,hristiyan
literally,resmen
assure,garanti etmek
several,birkaç
elevator,asansör
invent,icat etmek
statement,beyan
stair,basamak
beauty,güzellik
professional,profesyonel
fourth,dördüncü
robbery,soygun
butt,popo
shopping,alışveriş yapmak
offense,suç
accord,uymak
mail,posta
launch,başlatmak
angel,melek
holiday,tatil
ocean,okyanus
complain,şikayet
fence,"çit, kaçamaklı konuşmak"
noticed,fark
emotional,"duygusal, dokunaklı"
gross,brüt
soft,yumuşak
trash,çöp
reality,gerçeklik
healthy,sağlıklı
mental,zihinsel
specific,özel
technically,teknik olarak
awkward,beceriksiz
babe,bebeğim
fruit,meyve
proper,"uygun, düzgün"
edge,kenar
shape,şekil
miracle,mucize
fuel,yakıt
yellow,"sarı, sararmak"
stare,dik dik bakmak
print,baskı
terrific,müthiş
patch,yama
jacket,ceket
confirm,onaylamak
insist,ısrar etmek
resource,kaynak
pet,evcil hayvan
contain,"içermek, kapsamak"
architect,mimar
stage,sahne
respond,cevap vermek
ought,gerektiğini
drag,sürüklemek
entirely,baştan sona
understood,"anladım, anlaşıldı"
cancer,kanser
lonely,yalnız
quarter,çeyrek
comfort,konfor
surveillance,"gözetim, gözetleme, gözaltı"
perform,"yapmak, uygulamak, yerine getirmek"
battery,"pil, batarya"
vault,tonoz
classic,klasik
belt,kemer
insurance,sigorta
alright,Tamam
hatch,kapak
execute,"gerçekleştirmek, yerine getirmek, idam etmek"
bread,ekmek
lover,sevgili
distance,"mesafe, uzaklık"
grandmother,anneanne
traffic,trafik
available,"mevcut, uygun"
advance,"ilerlemek, terfi ettirmek"
soup,çorba
commercial,ticari
alien,uzaylı
steel,çelik
amen,amin
laundry,çamaşır
sunday,pazar
expert,uzman
silence,sessizlik
ancient,"eski, antik"
lip,dudak
hail,selamlamak
percent,yüzde
freedom,özgürlük
propose,"teklif etmek, önermek"
chosen,seçilmiş
potential,potansiyel
tail,kuyruk
winner,kazanan
cast,oyuncular
grandpa,dede
useful,işe yarar
boom,"gümlemek, patlama sesi"
heir,mirasçı
refuse,reddetmek
technology,teknoloji
personally,şahsen
intelligence,zeka
unbelievable,inanılmaz
recall,hatırlama
male,erkek
blade,"bıçak ağzı, kılıç"
spoken,konuşulmuş
vision,vizyon
assault,saldırmak
homicide,cinayet
sergeant,çavuş
standard,standart
plea,savunma
desperate,umutsuz
polic,polis istasyonu
laser,lazer
puzzle,bulmaca
manager,yönetici
handsome,yakışıklı
freeze,donmak
victory,zafer
nightmare,"kabus, endişe, kaygı"
sexual,cinsel
apply,uygulamak
lack,eksiklik
solid,katı
chat,sohbet
merry,şen
behavior,davranış
extremely,son derece
advantage,avantaj
facility,tesis
guilt,suç
frighten,korkutmak
zone,bölge
china,çin
dale,vadi
affect,etkilemek
surrender,teslim
stress,stres
desire,arzu etmek
possibility,olasılık
compare,karşılaştırmak
whisper,fısıltı
flip,fiske
doll,oyuncak bebek
baseball,beyzbol
panic,panik
bound,"ciltli, bağlı, zıplamak"
planned,planlı
clue,ipucu
per,"her, tarafından, başına"
direct,direkt
crawl,yavaş ilerleme
fellow,adam
survivor,hayatta kalan
grandma,büyükanne
garden,"bahçe, bahçede çalışmak"
treatment,tedavi
sweat,ter
equipment,ekipman
curse,lanet
particular,belirli
bike,"bisiklet, bisiklet sürmek"
delicious,lezzetli
blah,"zırva, palavra"
hammer,çekiç
salt,tuz
adventure,macera
accomplish,başarmak
pitch,saha
license,"ruhsat, yetki vermek"
thief,hırsız
laid,koydu
armor,zırh
library,kütüphane
easily,kolayca
product,ürün
wrap,paketlemek
scout,"izci, keşif yapmak, gözcü"
hostage,rehin
breach,"ihlal, karşı gelme"
recover,"kurtarmak, geri kazanmak, iyileşmek, kurtulmak"
negative,olumsuz
courage,cesaret
temple,tapınak
judgment,yargı
effort,çaba
golden,altın
be on,"açık olmak, çalışmak"
pour,"dökmek, akıtmak, dökülmek"
trapped,hapsolmuş
item,madde
replace,"yer değiştirmek, yerine geçmek"
pen,dolma kalem
crystal,kristal
ability,yetenek
closet,dolap
include,dahil etmek
circumstance,"durum, koşul"
actor,aktör
underwear,iç çamaşırı
indian,hintli
nonsense,saçmalık
downstair,alt kat
uncomfortable,rahatsız
permission,izin
owner,sahip
mall,alışveriş merkezi
butter,tereyağı
porn,porno
joy,sevinç
yard,avlu
fully,tamamen
priest,rahip
forced,zorunlu
fuckin,lanet
blast,"büyük patlama, infilak etmek"
sheet,tabaka
bump,çarpmak
gear,vites
lake,göl
female,kadın
costume,kostüm
factory,fabrika
badly,kötü bir şekilde
sink,lavabo
bee,bal arısı
swore,yemin
silver,gümüş
introduce,"tanıtmak, takdim etmek"
pure,saf
prevent,önlemek
nuclear,nükleer
section,bölüm
meantime,bu arada
friendly,arkadaş canlısı
rare,nadir
highly,büyük ölçüde
irrelevant,"ilgisiz, alakasız, konu dışı, yersiz"
toss,atmak
melt,"erimek, eritmek"
beast,"canavar, hayvan"
alliance,"ittifak, antlaşma"
selfish,bencil
starve,açlıktan öldürmek
aim,amaç
raid,baskın
parking,otopark
protocol,protokol
yay,yuppi
potato,patates
dick,penis
swim,yüzmek
sugar,şeker
cookie,kurabiye
happiness,mutluluk
slaughter,katliam
tv,televizyon
get out of,çıkmak
cooper,"şarapçı, fıçılamak"
separate,ayrı
tour,tur
privacy,gizlilik
image,görüntü
mirror,ayna
goodness,iyilik
wipe,silme
echo,eko
delivery,teslim
bleep,biplemek
period,dönem
waitress,bayan garson
sudden,ani
gain,kazanç
jury,jüri
vehicle,araç
snake,yılan
fallen,düşmüş
slowly,yavaşça
museum,müze
audition,"işitme, ses sınavı yapmak"
tale,masal
infect,bulaştırmak
coincidence,tesadüf
drill,matkap
citizen,vatandaş
ceremony,tören
brick,tuğla
tent,çadır
charity,sadaka
outta,-den dışarı
scratch,çizik
spill,dökmek
decent,terbiyeli
below,altında
rumor,söylenti
joking,şaka
argument,"tartışma, argüman"
stripper,striptizci
chancellor,rektör
think about,"uzun uzun düşünmek, aklına gelmek"
successful,başarılı
palace,saray
smoking,sigara içmek
stomach,mide
presence,varlık
rabbit,tavşan
vacation,tatil
attend,katılmak
champagne,şampanya
wide,geniş
aid,yardım etmek
carefully,dikkatlice
staff,personel
alcohol,alkol
represent,temsil etmek
appointment,"randevu, atama, tayin"
recent,"son, yakında olan"
subway,metro
monitor,izlemek
chemical,kimyasal
activity,"etkinlik, faaliyet"
success,başarı
reveal,ortaya çıkartmak
raised,kalkık
horn,"boynuz, toslamak"
lecture,ders
measure,"ölçmek, ölçü, tedbir, önlem"
desert,çöl
equal,eşit
northern,kuzey
inform,bilgi vermek
garbage,çöp
based,"merkezli, bazlı"
sack,çuval
halloween,cadılar bayramı
massage,masaj
ash,kül
diamond,elmas
footage,kamera görüntüsü
canary,kanarya
sorcerer,büyücü
flat,düz
warrant,garanti
incredibly,inanılmaz şekilde
royal,asil
border,"sınır, sınır koymak"
wizard,sihirbaz
artist,sanatçı
pink,pembe
directly,direkt olarak
wander,gezmek
swallow,yutmak
core,çekirdek
blanket,battaniye
patrol,devriye gezmek
lion,aslan
lame,topal
alley,geçit
incident,olay
herd,sürü
accuse,suçlamak
dating,"buluşma, tanışma, flört etme"
employee,"işçi, çalışan, personel"
valentine,sevgili
screen,ekran
coach,koç
normally,normalde
sharp,keskin
dirt,kir
garage,garaj
pattern,desen
fighter,savaşçı
currently,şu anda
stake,kazık
engine,motor
beneath,altında
know about,"haberi olmak, bilmek"
come in,içeri gel
unlike,aksine
thin,ince
midnight,gece yarısı
tattoo,dövme
quality,kalite
satellite,uydu
illegal,yasadışı
steady,sabit
barn,ahır
breast,meme
spider,örümcek
tax,vergi
champion,şampiyon
disturb,bozmak
capital,başkent
manner,tavır
regard,saygı
purse,para kesesi
dish,tabak
yourselves,kendiniz
helpful,faydalı
hill,tepe
neighborhood,mahalle
go on,devam et
benefit,"yarar, fayda"
aint,"olumsuzluk takısı, aren't"
habit,alışkanlık
safer,daha güvenli
asset,"varlık, mülk"
counsel,avukat
recommend,önermek
skip,atlamak
stink,pis koku
comment,yorum yap
nation,ulus
maid,hizmetçi
customer,müşteri
greater,daha büyük
attract,"çekmek, cezbetmek"
grandfather,büyük baba
despite,rağmen
retreat,geri çekilmek
valuable,"değerli, kıymetli"
oil,sıvı yağ
stretch,uzatmak
rope,i·p
bail,"kefalet, kefaletle serbest bırakmak"
fever,ateş
response,tepki
testify,ifade vermek
hung,asılı
cow,inek
generous,cömert
canada,kanada
bore,"delik, bunaltmak, sıkmak"
maester,üstat
reputation,itibar
sophia,sofya
opposite,karşısında
shown,gösterilen
motion,hareket
realm,diyar
district,"ilçe, bölge, semt"
someplace,bir yere
coast,sahil
role,rol
barrel,"namlu, varil, uçmak"
sigh,iç çekmek
pathetic,acıklı
hive,kovan
smarter,daha akıllı
transport,taşıma
lad,delikanlı
rocket,roket
spit,tükürmek
hyah,geh
worm,solucan
physicist,fizikçi
popular,popüler
haunt,uğrak
episode,bölüm
random,rasgele
slide,kaymak
wolf,kurt
toe,ayak parmağı
magazine,dergi
terror,terör
sock,çorap
missile,füze
knight,şövalye
astronaut,astronot
peanut,fıstık
worthy,layık
resist,direnmek
badge,rozet
arrange,düzenlemek
shine,parlaklık
degree,"derece, aşama"
basement,bodrum
italy,italya
quantum,kuantum
click,tık
reactor,reaktör
magical,büyülü
strategy,strateji
pride,gurur
explosion,patlama
german,almanca
noble,asil
punishment,ceza
express,"ifade etmek, açıklamak, anlatmak"
possess,sahip olmak
escort,"eskort, refakat etmek"
nerve,sinir
describe,tanımlamak
chew,çiğnemek
pump,"pompa, pompalamak, şişirmek"
younger,daha genç
useless,faydasız
failure,başarısızlık
mass,kitle
squad,tayfa
establish,kurmak
reaction,reaksiyon
gym,jimnastik
elf,cin
come with,ile gel
writ,ferman
cloud,bulut
conference,konferans
feast,"bayram, eğlendirmek"
entrance,giriş
setting,"ayar, ortam"
cigarette,sigara
campaign,kampanya
caused,neden oldu
approve,onaylamak
frozen,dondurulmuş
collection,"toplama, koleksiyon, tahsilat"
object,"nesne, cisim"
marshal,mareşal
international,uluslararası
leak,sızıntı
fri,cuma
document,belge
ammo,cephane
childhood,çocukluk
tend,eğilimli olmak
explanation,açıklama
behalf,biri adına
yup,evet
jesus,isa
style,stil
dungeon,zindan
sensitive,hassas
geez,tanrım
recruit,acemi
reasonable,makul
sweep,süpürme
tied,bağlı
glory,şan
cable,kablo
series,dizi
scientific,"ilmi, bilimsel"
fortune,kader
labor,emek
ashamed,utanmış
grid,kafes
spoil,"berbat etmek, bozmak"
timing,zamanlama
boob,"meme, aptallık etmek"
perpetrator,fail
multiple,çoklu
therapy,terapi
impression,izlenim
anytime,her ne zaman
consequence,sonuç
lifetime,ömür
hunter,avcı
session,"oturum, toplantı, celse"
communication,iletişim
invitation,davetiye
volunteer,gönüllü
closest,en yakın
pillow,yastık
wallet,cüzdan
lamp,lamba
audience,"izleyici, seyirci"
beep,"bip sesi, ses çıkarmak"
mike,mikrofon
particularly,özellikle
angle,"açı, balık tutmak"
hopefully,inşallah
majesty,majeste
theater,tiyatro
intention,niyet
appropriate,uygun
witch,cadı
organization,organizasyon
whip,kırbaç
century,yüzyıl
india,hindistan
pope,papa
sauce,sos
disaster,afet
flesh,et
halfway,"yarı yolda, ortada"
uniform,üniforma
smaller,daha küçük
underground,yeraltı
lick,yalamak
honour,onur
get on,binmek
alpha,alfa
director,yönetmen
territory,bölge
explosive,patlayıcı
crow,karga
struck,"vurmak, grevde"
legend,efsane
injury,hasar
pity,yazık
mug,kupa
exhaust,egzoz
algorithm,algoritma
emotion,duygu
bachelor,bekarlığa veda
disagree,"aynı fikirde olmamak, anlaşamamak"
deck,güverte
fleet,filo
associate,ilişkilendirmek
visitor,ziyaretçi
guarantee,garanti
hint,ipucu
arrangement,düzenleme
silent,sessiz
serial,seri
fridge,buzdolabı
perimeter,çevre
confused,şaşkın
helicopter,helikopter
pipe,boru
survival,hayatta kalma
chuckle,kıkırdama
loop,döngü
treasure,hazine
tuesday,Salı
material,malzeme
uh-huh,hi-hı
oath,yemin
cheap,ucuz
liberty,özgürlük
hilltop,tepenin
wasting,israf
farmer,çiftçi
nephew,erkek yeğen
patience,sabır
lung,akciğer
assassin,suikastçı
skull,kafatası
policy,politika
rape,"tecavüz etmek, ırzına geçmek"
involve,"içermek, kapsamak"
rub,ovmak
muscle,kas
differently,farklı olarak
jeez,olamaz
suspicious,şüpheli
highness,yükseklik
shore,kıyı
shooter,atıcı
agency,ajans
brotherhood,kardeşlik
maintain,"korumak, sağlamak, sürdürmek"
smooth,"düz, pürüzsüz"
corrupt,yozlaşmış
fold,kat
weakness,zayıflık
wore,giydiği
glove,eldiven
terrify,dehşete düşürmek
ill,hasta
balance,"denge, bakiye, dengede tutmak"
log,kütük
thrown,atılmış
satisfy,tatmin etmek
similar,benzer
confession,itiraf
foreign,dış
review,"gözden geçirmek, değerlendirmek"
clan,klan
accent,aksan
tast,tadı
salad,salata
nap,şekerleme
bend,"viraj, bükülmek"
papa,baba
religion,din
range,aralık
chill,"ürpermek, üşümek"
attractive,çekici
identify,"tanımlamak, kimliğini saptamak"
dust,toz
scale,ölçek
behave,davranmak
shelter,barınak
vest,yelek
cruel,zalim
admire,beğenmek
branch,"şube, dallanmak"
background,arka plan
scotch,"iskoç, yaralamak, engellemek"
adorable,"sevimli, şirin"
legacy,miras
flatter,"övmek, gururunu okşamak, göklere çıkarmak, pohpohlamak"
flow,"akmak, akım, dökülmek"
dinosaur,dinozor
go with,ile git
correction,düzeltme
committed,taahhüt
downtown,şehir merkezi
minister,bakan
crusade,haçlı seferi
initiative,girişim
shrimp,karides
ninth,dokuzuncu
element,eleman
rot,çürüme
frankly,açıkçası
kidnapped,kaçırılan
psycho,psiko
anniversary,yıldönümü
neat,temiz
prick,dikmek
plain,sade
blown,"şişmiş, esmiş"
breakup,ayrılık
crop,ekin
possession,mülk
movement,hareket
bid,teklif etmek
wisdom,bilgelik
therapist,terapist
wand,asa
occur,meydana gelmek
determine,belirlemek
deputy,milletvekili
bible,İncil
homework,ev ödevi
refer,"başvurmak, anmak, işaret etmek"
latest,son
bra,sütyen
sample,"örnek, numune"
practically,pratikte
undercover,gizli
tone,"ton, ayarlamak, yumuşatmak"
sworn,yemin
afterward,daha sonra
released,yayınlandı
occasion,"fırsat, vesile"
narrow,dar
digital,dijital
financial,parasal
potion,iksir
russia,rusya
payment,ödeme
miserable,sefil
junior,genç
sand,kum
function,fonksiyon
practic,pratik
method,yöntem
goat,keçi
jar,"kavanoz, didişmek"
fifth,beşinci
confidence,güven
colleague,çalışma arkadaşı
brush,"fırça, fırçalamak"
corporate,kurumsal
knights,şövalyeler
compromised,"sınırlı, tehlikeli"
served,hizmet
underneath,altında
invisible,görünmez
status,durum
loan,borç
invest,yatırmak
bat,yarasa
dwarf,cüce
treason,ihanet
sweater,kazak
drawer,çekmece
achieve,"elde etmek, başarmak"
update,güncelleme
commitment,taahhüt
sub,alt
confident,kendine güvenen
prayer,namaz
procedure,prosedür
facing,karşı
glasses,gözlük
county,"ilçe, idari bölge"
conflict,fikir ayrılığı
spear,mızrak
weigh,tartmak
pile,istif
burden,"yük, sırtına yüklemek"
society,toplum
makeup,makyaj
reporter,"muhabir, haberci"
italian,italyan
tick,kene
succeed,başarılı olmak
attach,"eklemek, yapıştırmak"
award,"ödül, ödüllendirmek"
fetch,getirmek
frame,çerçeve
basic,"temel, esas, basit"
compliment,iltifat
fort,kale
conduct,yönetmek
doin,yapıyorsun
drum,davul
forth,ileri
brief,kısa
article,makale
dessert,tatlı
unusual,olağandışı
theme,tema
ditch,"atmak, kurtulmak"
combat,savaş
mister,bay
chef,şef
diaper,bebek bezi
abuse,"istismar, kötüye kullanma"
steam,buhar
mouse,fare
needle,iğne
title,başlık
painful,acı verici
blonde,sarışın
belly,göbek
advise,öğüt vermek
seed,tohum
hostile,hasım
misunderstand,yanlış anlamak
quest,"aramak, araştırmak"
committee,kurul
generation,nesil
citadel,kale
collar,yaka
bargain,pazarlık
relative,bağıl
register,kayıt ol
relief,rahatlama
grandson,erkek torun
internal,"iç, dahili"
instinct,içgüdü
bait,"olta yemi, tuzak"
stable,kararlı
repair,tamir etmek
delay,gecikme
lean,"yağsız, eğilmek"
specifically,özellikle
raft,sal
beside,yanında
moral,manevi
tap,musluk
tiger,kaplan
chemistry,kimya
symptom,semptom
officially,resmi olarak
cabin,kabin
gentleman,beyefendi
soap,sabun
division,bölünme
dismiss,reddet
gum,sakız
fashion,moda
pickle,turşu
cock,çük
thrill,heyecan
phase,evre
proposal,öneri
chaos,kaos
cap,kapak
wrist,bilek
humanity,insanlık
senior,kıdemli
guide,kılavuz
speak to,e konuşmak
get back to,geri dön
boar,yaban domuzu
attitude,"tutum, tavır"
youre,sen
ankle,ayak bileği
peach,şeftali
fry,kızartma
duke,dük
hooker,fahişe
photograph,"fotoğraf, fotoğrafını çekmek"
cartel,kartel
reject,reddetmek
intelligent,akıllı
deposit,depozito
shrink,küçültmek
chop,pirzola
tragedy,trajedi
scan,taramak
unique,benzersiz
passage,geçit
dial,tuşlamak
remarkable,dikkat çekici
stroke,inme
tradition,gelenek
smash,parçalamak
humor,mizah
electricity,elektrik
priority,öncelik
grief,"keder, üzüntü"
competition,yarışma
television,televizyon
banana,muz
massive,büyük ve ağır
galaxy,gökada
snack,abur cubur
believe in,inan
penny,kuruş
instruction,talimat
obsess,saplantı haline gelmek
offend,gücendirmek
symbol,sembol
era,çağ
fraud,dolandırıcılık
custom,gelenek görenek
heave,fay hareketi
discussion,tartışma
gee,vay be
civil,sivil
unfortunate,şanssız
haircut,saç kesimi
environment,"çevre, ortam"
powder,pudra
error,hata
fantasy,fantezi
corn,mısır
pound,"vurmak, ingiliz lirası"
beard,sakal
horror,korku
distraction,oyalama eğlence dikkati başka yöne çekme
guitar,gitar
boil,"kaynamak, haşlamak"
myth,efsane
sanctuary,barınak
tournament,turnuva
clown,palyaço
do for,bir şey için yapmak
re,yeniden
go in,içeri gir
have on,sahip
expression,ifade
bout,"gösteri, müsabaka"
scrap,hurda
ensure,sağlamak
hawk,şahin
ripped,"yırtık, sarhoş, hasarlı"
properly,uygun şekilde
impact,"etki, darbe"
stabbed,bıçaklandı
forgiveness,af
puppy,köpek yavrusu
honeymoon,"balayı, balayına çıkmak, cicim ayı"
vulnerable,savunmasız
operating,işletme
towel,havlu
lesbian,lezbiyen
lap,kucak
thumb,başparmak
cutting,kesme
flood,sel
passenger,yolcu
vengeance,intikam
dropping,damlatma
topic,konu
signature,imza
flirt,flört
alarm,"alarm, uyarmak"
prom,balo
trunk,gövde
merely,sadece
highest,en yüksek
password,parola
precinct,seçim bölgesi
druid,büyücü
fingerprint,parmak izi
holiness,kutsallık
heroes,kahramanlar
nasty,pis
twist,dönemeç
stall,ahır
jam,reçel
acquire,elde etmek
stack,yığın
settlement,yerleşme
corpse,ceset
statue,heykel
gorgeous,muhteşem
generator,jeneratör
wreck,harabe
oxygen,oksijen
sickness,hastalık
foolish,aptalca
extend,uzatmak
april,Nisan
shipment,gönderi
collapse,çöküş
backward,"geriye, geri kalmış"
vigilantes,kanunsuzlar
website,i·nternet sitesi
concert,"konser, anlaşmak"
anonymous,anonim
siege,kuşatma
determin,belirlemek
madness,delilik
flew,uçtu
fart,osuruk
relevant,uygun
oven,fırın
rank,rütbe
gunshot,atış
shove,kıpırdamak
unconscious,bilinçsiz
flu,grip
negotiate,görüşmek
larger,daha büyük
heck,kahrolası
rib,kaburga
critical,kritik
orange,portakal
coordinate,koordinat
begun,başladı
pumpkin,kabak
butcher,kasap
thirsty,susuz
nickname,takma ad
bake,fırında pişirmek
temporary,geçici
cough,öksürük
happily,mutlulukla
pad,ped
shell,kabuk
ease,kolaylaştırmak
investment,yatırım
deer,geyik
bucket,"kova, kovayla taşımak"
contest,yarışma
avenge,intikamını almak
convincing,inandırıcı
rider,binici
temperature,sıcaklık
suggestion,öneri
importantly,önemli biçimde
balloon,"balon, şişmek"
ministry,bakanlık
down to,aşağı
think of,"düşünmek, akıl etmek"
react,tepki
feature,özellik
increase,"artırmak, artmak"
jewish,yahudi
helmet,kask
height,yükseklik
northmen,kuzeyliler
accidentally,yanlışlıkla
political,siyasi
magician,büyücü
furniture,mobilya
squeeze,suyunu sıkmak
rifle,tüfek
surrounded,çevrili
polite,"kibar, nazik"
cowboy,kovboy
scenario,senaryo
outfit,birlik
grownup,yetişkin
eve,havva
crisis,kriz
rescued,kurtarılan
worker,çalışan
pace,hız
comrade,yoldaş
steak,biftek
pole,kutup
tracker,izci
forbid,yasaklamak
wit,zekâ
rust,pas
leather,deri
candle,mum
bounce,"sıçrama, zıplama"
tricky,hileli
upside,üst taraf
addict,"bağımlı olmak, bağımlı"
tub,küvet
engagement,nişan
taxi,taksi
engaged,nişanlı
no-one,hiç kimse
tired,yorgun
mesa,yüksek ova
talkin,konuşmasıyla
intense,yoğun
mysterious,gizemli
groom,damat
minor,küçük
union,birlik
cunt,kadın cinsel organı
courtesy,nezaket
construction,inşaat
individual,bireysel
banging,küfür
warehouse,depo
sniper,keskin nisanci
profile,profil
produce,üretmek
chess,satranç
appeal,başvurmak
dibs,beştaş
slice,dilim
warden,bekçi
exposed,maruz
destruction,imha
virgin,bakire
mistaken,yanlış
nearby,yakında
plug,fiş
knot,düğüm
eleven,on bir
ruler,cetvel
assist,yardım etmek
flaw,kusur
halt,durdurmak
onion,soğan
operative,faal
oceanic,okyanus
pastor,papaz
british,İngiliz
teenager,genç
influence,etki
passion,tutku
engage,"bağlanmak, birbirine girmek"
petty,küçük
daily,günlük
slightly,"hafif, az oranda, belli belirsiz"
paperwork,evrak
handcuff,kelepçe
junk,önemsiz
unknown,bilinmeyen
ambulance,ambulans
storage,depolama
dug,kazılmış
infection,enfeksiyon
hallway,koridor
inch,inç
adopt,"benimsemek, evlat edinmek"
witnesses,tanıklar
handled,ele
plastic,plastik
widow,dul
exercise,egzersiz
constant,sabit
architecture,mimarlık
happier,daha mutlu
shortly,kısaca
secretary,sekreter
counter,sayaç
shed,"dökmek, akıtmak"
permanent,"kalıcı, sürekli, daimi"
paranoid,paranoyak
belief,inanç
active,aktif
choke,boğma
entertain,eğlendirmek
expense,gider
confront,karşısına çıkmak
surface,yüzey
pleasant,hoş
cleaner,temizleyici
resident,"oturan, sakin, yerleşmiş"
choos,çuf çuf tren
phrase,ifade
average,"ortalama, ortalama bulma"
permit,izin
display,görüntüle
decade,onyıl
hockey,hokey
depress,düşürmek
software,yazılım
database,veritabanı
november,kasım
performance,verim
inappropriate,uygunsuz
candidate,aday
therefore,bu nedenle
finest,en güzel
bald,kel
poop,"bok, kaka"
lydia,lidya
mighty,güçlü
filthy,pis
sheriff,şerif
pause,duraklat
slipped,kaymış
injured,yaralı
complex,karmaşık
sadly,ne yazık ki
kneel,diz çökmek
compromise,"taviz, ödün"
proven,kanıtlanmış
industry,sanayi
shave,tıraş
burst,patlama
label,etiket
shy,utangaç
resync,resync komutu
thick,kalın
urgent,acil
cart,araba ile taşımak
safely,güvenli bir şekilde
define,tanımlamak
bud,"tomurcuk, tomurcuklanmak"
dot,nokta
mutual,karşılıklı
privilege,ayrıcalık
troop,asker
typical,tipik
fairly,oldukça
legendary,efsanevi
farewell,veda
reckon,"tahmin etmek, hesaplamak"
remote,uzak
chart,grafik
journal,dergi
drone,erkek arı
consolidated,birleştirilmiş
acid,asit
gasp,nefesi kesilmek
billy,cop
ahem,hım
deal with,uğraşmak
facial,yüz
nanny,dadı
motherfucker,çocuğu
basket,sepet
poem,şiir
expose,maruz bırakmak
brand,marka
bull,boğa
highway,karayolu
conscience,"vicdan, inanç"
fist,yumruk
favour,iyilik
principal,asıl
assignment,atama
execution,icra
cheek,"yanak, küstahlık etmek"
bum,"otlakçı, dilenmek"
tomato,domates
zoo,hayvanat bahçesi
pirate,korsan
unfair,haksız
combination,kombinasyon
conclusion,sonuç
stab,bıçaklama
locker,kilitli dolap
deeper,daha derine
pregnancy,gebelik
gravity,yerçekimi
drain,akıtmak
fur,kürk
bacon,"domuz yağı, domuz pastırması"
precisely,tam
await,beklemek
drank,içti
content,"içerik, memnun etmek"
lobster,istakoz
liquid,sıvı
purple,mor
puppet,kukla
distress,sıkıntı
rainbow,gökkuşağı
come out,"yayımlamak, ortaya çıkmak"
elves,elfler
shout,"bağırmak, haykırmak"
be with,ile olmak
malfunction,arıza
newspaper,gazete
employ,kullanmak
reek,buğulanmak
blond,sarışın
profit,kâr
lit,"yanan, sarhoş, edebiyat"
assign,"atamak, devretmek"
kit,malzeme
stash,saklamak
personality,kişilik
haul,çekmek
